Time,TEC
2025-07-22 04:00:00,10.7
2025-07-22 04:01:00,0
2025-07-22 04:02:00,0
2025-07-22 04:03:00,0
2025-07-22 04:04:00,0
2025-07-22 04:05:00,0
2025-07-22 04:06:00,0
2025-07-22 04:07:00,0
2025-07-22 04:08:00,0
2025-07-22 04:09:00,0
2025-07-22 04:10:00,0
2025-07-22 04:11:00,0
2025-07-22 04:12:00,0
2025-07-22 04:13:00,0
2025-07-22 04:14:00,0
2025-07-22 04:15:00,0
2025-07-22 04:16:00,0
2025-07-22 04:17:00,0
2025-07-22 04:18:00,0
2025-07-22 04:19:00,0
2025-07-22 04:20:00,0
2025-07-22 04:21:00,0
2025-07-22 04:22:00,0
2025-07-22 04:23:00,0
2025-07-22 04:24:00,0
2025-07-22 04:25:00,0
2025-07-22 04:26:00,0
2025-07-22 04:27:00,0
2025-07-22 04:28:00,0
2025-07-22 04:29:00,0
2025-07-22 04:30:00,0
2025-07-22 04:31:00,0
2025-07-22 04:32:00,0
2025-07-22 04:33:00,0
2025-07-22 04:34:00,0
2025-07-22 04:35:00,0
2025-07-22 04:36:00,0
2025-07-22 04:37:00,0
2025-07-22 04:38:00,0
2025-07-22 04:39:00,0
2025-07-22 04:40:00,0
2025-07-22 04:41:00,0
2025-07-22 04:42:00,0
2025-07-22 04:43:00,0
2025-07-22 04:44:00,0
2025-07-22 04:45:00,12
2025-07-22 04:46:00,0
2025-07-22 04:47:00,0
2025-07-22 04:48:00,0
2025-07-22 04:49:00,0
2025-07-22 04:50:00,0
2025-07-22 04:51:00,0
2025-07-22 04:52:00,0
2025-07-22 04:53:00,0
2025-07-22 04:54:00,0
2025-07-22 04:55:00,0
2025-07-22 04:56:00,0
2025-07-22 04:57:00,0
2025-07-22 04:58:00,0
2025-07-22 04:59:00,0
2025-07-22 05:00:00,0
2025-07-22 05:01:00,0
2025-07-22 05:02:00,0
2025-07-22 05:03:00,0
2025-07-22 05:04:00,0
2025-07-22 05:05:00,0
2025-07-22 05:06:00,0
2025-07-22 05:07:00,0
2025-07-22 05:08:00,0
2025-07-22 05:09:00,0
2025-07-22 05:10:00,0
2025-07-22 05:11:00,0
2025-07-22 05:12:00,0
2025-07-22 05:13:00,0
2025-07-22 05:14:00,0
2025-07-22 05:15:00,10.5
2025-07-22 05:16:00,0
2025-07-22 05:17:00,0
2025-07-22 05:18:00,0
2025-07-22 05:19:00,0
2025-07-22 05:20:00,0
2025-07-22 05:21:00,0
2025-07-22 05:22:00,0
2025-07-22 05:23:00,0
2025-07-22 05:24:00,0
2025-07-22 05:25:00,0
2025-07-22 05:26:00,0
2025-07-22 05:27:00,0
2025-07-22 05:28:00,0
2025-07-22 05:29:00,0
2025-07-22 05:30:00,10.2
2025-07-22 05:31:00,0
2025-07-22 05:32:00,0
2025-07-22 05:33:00,0
2025-07-22 05:34:00,0
2025-07-22 05:35:00,0
2025-07-22 05:36:00,0
2025-07-22 05:37:00,0
2025-07-22 05:38:00,0
2025-07-22 05:39:00,0
2025-07-22 05:40:00,0
2025-07-22 05:41:00,0
2025-07-22 05:42:00,0
2025-07-22 05:43:00,0
2025-07-22 05:44:00,0
2025-07-22 05:45:00,10.9
2025-07-22 05:46:00,0
2025-07-22 05:47:00,0
2025-07-22 05:48:00,0
2025-07-22 05:49:00,0
2025-07-22 05:50:00,0
2025-07-22 05:51:00,0
2025-07-22 05:52:00,0
2025-07-22 05:53:00,0
2025-07-22 05:54:00,0
2025-07-22 05:55:00,0
2025-07-22 05:56:00,0
2025-07-22 05:57:00,0
2025-07-22 05:58:00,0
2025-07-22 05:59:00,0
2025-07-22 06:00:00,11
