beam_id,starttime,TEC_per_m2,dTEC_per_m2,pulse_code,integration_time
64157.0,2025-07-22T04:48:48.0,6.693476102961897e16,5.701473938288386e15,ac,15min
64157.0,2025-07-22T05:03:51.0,6.260526201622032e16,5.766114685432486e15,ac,15min
64157.0,2025-07-22T05:18:53.0,6.2924183010085656e16,2.6794135112454048e17,ac,15min
64157.0,2025-07-22T05:33:55.0,6.7450768642724584e16,5.054812764094903e15,ac,15min
64157.0,2025-07-22T05:48:57.0,6.874793807045886e16,4.781633825575509e15,ac,15min
64964.0,2025-07-22T04:03:42.0,9.318425689608974e16,1.9078350098452936e16,ac,15min
64964.0,2025-07-22T04:18:44.0,7.844332888246456e16,5.870133003258577e15,ac,15min
64964.0,2025-07-22T04:33:46.0,7.97786613693737e16,5.549983868737174e15,ac,15min
64964.0,2025-07-22T04:48:48.0,7.333566279992702e16,5.021974975147249e15,ac,15min
64964.0,2025-07-22T05:03:51.0,8.516879694451803e16,6.528332874289663e15,ac,15min
64964.0,2025-07-22T05:18:53.0,8.207305491244776e16,8.626538152968551e15,ac,15min
64964.0,2025-07-22T05:33:55.0,7.750112222115141e16,6.60451575891033e15,ac,15min
64964.0,2025-07-22T05:48:57.0,7.582616689561582e16,6.602217407660201e15,ac,15min
65066.0,2025-07-22T04:03:42.0,7.337760512661014e16,5.741139912389947e15,ac,15min
65066.0,2025-07-22T04:18:44.0,7.34834017604964e16,5.472117001119432e15,ac,15min
65066.0,2025-07-22T04:33:46.0,6.947645647627964e16,5.04440550595204e15,ac,15min
65066.0,2025-07-22T04:48:48.0,6.913240001821013e16,5.167113934620123e15,ac,15min
65066.0,2025-07-22T05:03:51.0,6.1949577984585016e16,5.088834758958591e15,ac,15min
65066.0,2025-07-22T05:18:53.0,7.226817188753654e16,5.774265262624374e15,ac,15min
65066.0,2025-07-22T05:33:55.0,6.816757585484296e16,4.97991397332829e15,ac,15min
65066.0,2025-07-22T05:48:57.0,6.339185109979578e16,5.398180346098574e15,ac,15min
64016.0,2025-07-22T04:03:42.0,7.499359632388245e16,1.7167235023118366e16,ac,1min
64016.0,2025-07-22T04:04:43.0,7.73051377940728e16,5.475273374090294e18,ac,1min
64016.0,2025-07-22T04:05:48.0,6.726450535940995e15,1.0779866130432165e15,ac,1min
64016.0,2025-07-22T04:06:49.0,6.685399471504444e16,9.685104393739842e16,ac,1min
64016.0,2025-07-22T04:07:50.0,6.936609339144386e16,7.307858116965205e18,ac,1min
64016.0,2025-07-22T04:08:51.0,7.489079547116005e16,1.0618859324663872e17,ac,1min
64016.0,2025-07-22T04:09:52.0,7.641239452610365e16,7.34475719273223e18,ac,1min
64016.0,2025-07-22T04:10:53.0,7.42037703620505e16,1.9526555790283366e18,ac,1min
64016.0,2025-07-22T04:11:58.0,7.518113833306923e16,1.971787736017793e16,ac,1min
64016.0,2025-07-22T04:12:59.0,6.662951035301291e16,2.4823422733759284e16,ac,1min
64016.0,2025-07-22T04:14:00.0,7.987937406162981e16,2.5876402533057024e16,ac,1min
64016.0,2025-07-22T04:15:01.0,6.226196607276219e16,1.2995292514617966e16,ac,1min
64016.0,2025-07-22T04:16:02.0,6.447323088900147e16,1.5471369872934734e16,ac,1min
64016.0,2025-07-22T04:17:03.0,8.156974401322355e15,1.547937413719083e15,ac,1min
64016.0,2025-07-22T04:18:08.0,7.0457780725527736e16,1.5279651411690052e16,ac,1min
64016.0,2025-07-22T04:19:09.0,6.001174549869252e16,4.869805829051234e18,ac,1min
64016.0,2025-07-22T04:20:10.0,1.2872491528847386e16,2.211118268578869e15,ac,1min
64016.0,2025-07-22T04:21:11.0,9.418796522422138e16,2.1401272541488566e17,ac,1min
64016.0,2025-07-22T04:22:12.0,7.020489414417934e16,2.207716696280685e16,ac,1min
64016.0,2025-07-22T04:23:13.0,7.915672085962858e16,1.9704509230145372e18,ac,1min
64016.0,2025-07-22T04:24:13.0,6.003599772306461e16,5.085119365690231e18,ac,1min
64016.0,2025-07-22T04:25:14.0,7.286776768788698e16,1.2118101791385818e18,ac,1min
64016.0,2025-07-22T04:26:15.0,7.762255828363955e16,1.797097092326949e16,ac,1min
64016.0,2025-07-22T04:27:16.0,7.522953459457222e16,1.9600583022661892e16,ac,1min
64016.0,2025-07-22T04:28:17.0,9.085454024748715e16,5.372262910111741e18,ac,1min
64016.0,2025-07-22T04:29:18.0,6.978983181696742e16,2.381224800024106e18,ac,1min
64016.0,2025-07-22T04:30:23.0,6.8760847379785576e16,3.303219082027159e19,ac,1min
64016.0,2025-07-22T04:31:24.0,7.535840078595478e16,1.3450854117879728e16,ac,1min
64016.0,2025-07-22T04:32:25.0,6.5871012967856936e16,1.320503495961448e20,ac,1min
64016.0,2025-07-22T04:33:26.0,7.874393880918614e16,1.0492994747636091e17,ac,1min
64016.0,2025-07-22T04:34:27.0,6.263510481476149e16,2.8433538340334495e18,ac,1min
64016.0,2025-07-22T04:35:28.0,7.892059073738568e16,1.1287182246069851e17,ac,1min
64016.0,2025-07-22T04:36:33.0,8.407239309088946e16,1.4716486601635874e20,ac,1min
64016.0,2025-07-22T04:37:34.0,6.802725530951585e16,4.4554114877532954e17,ac,1min
64016.0,2025-07-22T04:38:35.0,7.079631653487693e16,1.49729156918566e16,ac,1min
64016.0,2025-07-22T04:39:36.0,7.977988684895045e16,1.235278061862042e16,ac,1min
64016.0,2025-07-22T04:40:37.0,9.386023410049552e16,3.7434554070199414e18,ac,1min
64016.0,2025-07-22T04:41:38.0,8.178662941568723e16,4.246415302096597e19,ac,1min
64016.0,2025-07-22T04:42:44.0,8.038511479760709e16,2.0564317232716133e20,ac,1min
64016.0,2025-07-22T04:43:49.0,5.604081051005203e16,8.051262360170085e17,ac,1min
64016.0,2025-07-22T04:44:50.0,7.461041036595784e16,1.4410547146750348e16,ac,1min
64016.0,2025-07-22T04:45:51.0,5.561641787897238e16,1.5287877312088913e20,ac,1min
64016.0,2025-07-22T04:46:52.0,7.210747611293694e16,6.337634605706451e17,ac,1min
64016.0,2025-07-22T04:47:53.0,6.911564210117128e16,1.15911846637512e18,ac,1min
64016.0,2025-07-22T04:48:54.0,8.05373380943475e16,2.3279294855316012e16,ac,1min
64016.0,2025-07-22T04:49:59.0,7.77442423205127e16,1.1670093220280324e16,ac,1min
64016.0,2025-07-22T04:51:00.0,7.30994597053783e16,4.394325484769781e16,ac,1min
64016.0,2025-07-22T04:52:01.0,5.662464685199381e16,1.2615471189701514e16,ac,1min
64016.0,2025-07-22T04:53:02.0,8.589769295441638e16,3.04435278609784e20,ac,1min
64016.0,2025-07-22T04:54:03.0,6.068284954813845e16,7.415887063323735e17,ac,1min
64016.0,2025-07-22T04:55:04.0,8.021106811164474e16,3.426358016373451e18,ac,1min
64016.0,2025-07-22T04:56:09.0,7.666169565954848e16,4.291416436217837e18,ac,1min
64016.0,2025-07-22T04:57:10.0,5.917475670462139e16,3.659000743074108e18,ac,1min
64016.0,2025-07-22T04:58:11.0,6.878808579617174e16,9.647211169572531e19,ac,1min
